,id,name,popularity
0,0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),76
1,593W4qZOwwdqF6YnimJjL6,Doves In The Wind (feat. Kendrick Lamar),64
2,6gU9OKjOE7ghfEd55oRO57,The Weekend,75
3,23wcL7jlwSLVZ54V1qO7oO,Plot Twist,29
4,7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,75
5,4CQGG4DimjEDPEli6xfhuJ,Believe,31
6,5UJshy5HDHdNEVqlJwzsQB,Versace on the Floor (Bruno Mars vs. David Guetta),62
7,5HDPtsnyb3maFmPL8LLUTG,New Man,68
8,32DGGj6KlNuBr6WaqRxpxi,How Long,5
9,3Z2sglqDj1rDRMF5x0Sz2R,3005,2
10,2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),73
11,7BKUWh5sdtdS17crohRe4L,Black SpiderMan,61
12,6X5OFBbrsHRsyO1zP7udgr,Man's Not Hot,68
13,4cgjA7B4fJBHyB9Ya2bu0t,Human Nature,55
14,64TkpV7m7f09JY7K436pju,That's What I Like - PARTYNEXTDOOR Remix,56
15,45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller),67
16,5eqK0tbzUPo2SoeZsov04s,Bank Account,1
17,1OmcAT5Y8eg5bUPv9qJT4R,rockstar,4
18,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),73
19,2nLtzopw4rPReszdYBJU6h,Numb,81
20,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,83
21,3kxfsdsCpFgN412fpnW85Y,Redbone,6
22,6ae29ZzSPYq61ARnOn3CGh,California,56
23,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,45
24,6b8Be6ljOzmkOmFslEb23P,24K Magic,78
25,7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,73
26,4iLqG9SeJSnt0cSPICSjxv,Attention,8
27,6HZILIRieu8S0iqY8kIKhj,DNA.,79
28,104buTcnP2AsxqB7U1FIZ4,Heavy (feat. Kiiara),69
29,52qH79XktzCUPkN0dlRbUs,You & Me,57
30,3cfOd4CMv2snFaKAnMdnvK,All Star,79
31,4Ro98RCK90oHqqSZUnTFq5,Strip That Down,71
32,60a0Rd6pjrkxjPbaKzXjfq,In the End,83
33,55h7vJchibLdUkxdlX3fK7,Treasure,77
34,1nMYtxDrONcoGnKRvxTwPv,i miss the old u,72
35,3DamFFqW32WihKkTVlwTYQ,Fireflies,79
36,6y6jbcPG4Yn3Du4moXaenr,Idfc,80
37,6OSmeoh8kXhCfz9WqvzDoJ,Same Girl (with Usher),61
38,7qiZfU4dY1lWllzX7mPBI3,Shape of You,85
39,031QO44Ql8D7D3ePdI7fkg,playboy shit (feat. lil aaron),0
40,7bEpta1ypII0jz5zW993VA,Bon appétit,0
41,7wBThXx7BGZHJJ3aN3OPvv,Confessions Part II,67
42,1BECwm5qkaBwlbfo4kpYx8,Death of a Bachelor,73
43,2rmq49FcJ4U3wh1Z7C9UxE,IV. Sweatpants,1
44,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,66
45,6uBhi9gBXWjanegOb2Phh0,Stay,78
46,6foxplXS0YEq8cO374Lty4,Gucci Gang,57
47,762UXiwEHYY97VL45sAUPR,2U,64
48,1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),77
49,7gDwRzJhLs0fFHaGtMDJVM,Baby Blue (feat. Chance the Rapper),65
50,0qgZvYWLIqDn0tXimF8gPa,Dirty Laundry,61
51,5GG3knKdxKWrNboRijxeKF,Run Me Dry,66
52,1KGi9sZVMeszgZOWivFpxs,No Scrubs,79
